dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,Label
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,4127,226233337,0,2587,2587,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,226233337,4127,2587,0,2587,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,4295,354583059,0,16577,16577,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,3413,3665,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,3917,143928631,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,4095,82306108,0,2587,2587,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3885,1492,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3472,1172,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,4,3465,147630566,0,6467,6467,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3236,3432,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,1,3492,1332,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,1,273821796,1844,16188,0,16188,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3472,1172,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,3,3698,126195328,0,9721,9721,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,3,3362,3236,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,3,3236,3362,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,144824155,3959,7676,0,7676,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,1,3492,1332,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,3688,1492,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,3,147630566,3572,6467,0,6467,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,1,3626,35262270,0,3839,3839,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,1,3472,1332,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,4,3362,3236,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3792,147627460,0,6467,6467,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,3,147629524,3465,6467,0,6467,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3472,1172,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,3,35264510,3446,3839,0,3839,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3492,1422,0,0,0,DDoS-PSH-ACK
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3582,1332,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,226233337,4127,2587,0,2587,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,4,352967212,4766,6400,0,6400,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,3845,1402,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,3959,144824155,0,7676,7676,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,3413,3665,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3885,1492,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,3665,3413,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3570,1492,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3795,1242,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,4043,161293091,0,10271,10271,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3795,1402,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,4,4127,226233337,0,2587,2587,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,3413,3665,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,4295,354583059,0,16577,16577,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,3413,3665,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,4,3917,143928631,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,4095,82306108,0,2587,2587,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,3413,3665,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,4,354583059,4295,16578,0,16578,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,4,3665,3413,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3795,1242,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3929,16470178,0,2594,2594,DDoS-PSH-ACK
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3775,1242,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,3665,3413,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,1,4288,74268156,0,2562,2562,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3753,1332,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,3679,58460931,0,5232,5232,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3733,1402,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,4,58460931,3749,5232,0,5232,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,3413,3623,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3683,1422,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3733,1172,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3753,5227812,0,1393,1393,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3528,1422,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3929,53230984,0,3838,3838,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3775,1492,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,3845,1402,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,3413,3665,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3775,1242,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,143928631,3917,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,4047,143926620,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,3665,3413,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,580813093,2586,19164,0,19164,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,3665,3413,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,4,3553,3343,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3733,1402,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,4,3833,125226685,0,3838,3838,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3753,1332,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3969,53060140,0,2619,2619,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,4,3959,178284357,0,6457,6457,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3413,3623,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3663,1242,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,3623,3413,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,58460931,3679,5232,0,5232,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,125225619,3833,3838,0,3838,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,3343,3553,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,4047,193291210,0,6307,6307,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,4,3623,3413,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3663,1422,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3753,1242,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,4,3623,3413,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,178285423,3959,6457,0,6457,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,4,179670409,3917,11699,0,11699,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3413,3623,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,1,3773,1422,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,3,3343,3623,0,0,0,DDoS-PSH-ACK
11335,1,10.0.0.1,10.0.0.8,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,UDP,2,3646,1492,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,3,5186,604242494,0,8969,8969,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,1,3972,1242,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,2,3590,3842,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,3,3842,3590,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,3,3520,3842,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,4,3842,3590,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,2,4358,143926544,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,1,3972,1312,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,1,3882,1312,0,0,0,DDoS-PSH-ACK
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,3795,1402,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,2,883628354,3580,10251,0,10251,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,1,3747,1492,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,3,143928808,4094,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,2,3972,1402,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,4,3772,3520,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,1,4224,143926620,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,3,278700368,4360,3838,0,3838,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,2,3902,1492,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,1,3952,1242,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,3,4360,278700368,0,3838,3838,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,2,3952,1402,0,0,0,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,4,4514,279389200,0,1282,1282,DDoS-PSH-ACK
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,4,4094,143928808,0,0,0,DDoS-PSH-ACK
